bank_nomi,hisobot_oyi,korsatkich_nomi,turi,summa_som
Milliy Bank,2025-10,Naqd pullar va MB hisobvaraqlari,aktiv,23711783545
Milliy Bank,2025-10,Banklararo joylashtirishlar,aktiv,377254644476
Milliy Bank,2025-10,Kredit portfeli,aktiv,254475075350
Milliy Bank,2025-10,Kredit zaxirasi,aktiv,-11678255515
Milliy Bank,2025-10,Qimmatli qog'ozlar,aktiv,30311182582
Milliy Bank,2025-10,Asosiy vositalar,aktiv,734393432589
Milliy Bank,2025-10,Jami aktivlar,aktiv,1408467863027
Milliy Bank,2025-10,Jismoniy shaxslar omonatlari,passiv,308980788190
Milliy Bank,2025-10,Yuridik shaxs depozitlari,passiv,549057010877
Milliy Bank,2025-10,Banklararo qarzlar,passiv,130509894561
Milliy Bank,2025-10,Chiqarilgan qimmatli qog'ozlar,passiv,30848433606
Milliy Bank,2025-10,Xususiy kapital,passiv,389071735793
Milliy Bank,2025-10,Jami passivlar va kapital,passiv,1408467863027
Milliy Bank,2025-11,Naqd pul va MB dagi mablag'lar,aktiv,23469727265
Milliy Bank,2025-11,Banklararo joylashtirishlar,aktiv,380105499212
Milliy Bank,2025-11,Kredit portfeli (brutto),aktiv,262798233752
Milliy Bank,2025-11,Kredit zaxirasi,aktiv,-8406801632
Milliy Bank,2025-11,Qimmatli qog'ozlar,aktiv,30709099437
Milliy Bank,2025-11,Asosiy vositalar,aktiv,714708288948
Milliy Bank,2025-11,Jami aktivlar,aktiv,1403384046982
Milliy Bank,2025-11,Jismoniy shaxslar omonatlari,passiv,325284264727
Milliy Bank,2025-11,Yuridik shaxs depozitlari,passiv,577618521300
Milliy Bank,2025-11,Banklararo qarzlar,passiv,131200055293
Milliy Bank,2025-11,Chiqarilgan qimmatli qog'ozlar,passiv,32254284125
Milliy Bank,2025-11,Ustav kapitali va zaxiralar,passiv,337026921537
Milliy Bank,2025-11,Jami passivlar va kapital,passiv,1403384046982
Milliy Bank,2025-12,Naqd pul va MB dagi mablag'lar,aktiv,24286498008
Milliy Bank,2025-12,Banklararo joylashtirishlar,aktiv,372153540326
Milliy Bank,2025-12,Berilgan kreditlar (brutto),aktiv,278312294892
Milliy Bank,2025-12,Kredit zaxirasi,aktiv,-20185467355
Milliy Bank,2025-12,Qimmatli qog'ozlar,aktiv,32119651461
Milliy Bank,2025-12,Asosiy vositalar,aktiv,747502169326
Milliy Bank,2025-12,Jami aktivlar,aktiv,1434188686658
Milliy Bank,2025-12,Jismoniy shaxs depozitlari,passiv,332790985389
Milliy Bank,2025-12,Yuridik shaxs depozitlari,passiv,586739648411
Milliy Bank,2025-12,Banklararo qarzlar,passiv,133889941814
Milliy Bank,2025-12,Chiqarilgan qimmatli qog'ozlar,passiv,31332157593
Milliy Bank,2025-12,Xususiy kapital,passiv,349435953451
Milliy Bank,2025-12,Jami passivlar va kapital,passiv,1434188686658
Milliy Bank,2026-01,Kassa va Markaziy bankdagi mablag',aktiv,24216157158
Milliy Bank,2026-01,Banklararo joylashtirishlar,aktiv,386347297138
Milliy Bank,2026-01,Kredit portfeli (brutto),aktiv,289370153561
Milliy Bank,2026-01,Kredit zaxirasi,aktiv,-11886068496
Milliy Bank,2026-01,Qimmatli qog'ozlar,aktiv,32820732192
Milliy Bank,2026-01,Asosiy vositalar,aktiv,788937577737
Milliy Bank,2026-01,Jami aktivlar,aktiv,1509805849290
Milliy Bank,2026-01,Jismoniy shaxslar omonatlari,passiv,350091170558
Milliy Bank,2026-01,Yuridik shaxs depozitlari,passiv,615237990565
Milliy Bank,2026-01,Banklararo qarzlar,passiv,141489307654
Milliy Bank,2026-01,Chiqarilgan qimmatli qog'ozlar,passiv,30672629229
Milliy Bank,2026-01,Kapital,passiv,372314751284
Milliy Bank,2026-01,Jami passivlar va kapital,passiv,1509805849290
Milliy Bank,2026-02,Naqd pul va MB dagi mablag'lar,aktiv,24954376988
Milliy Bank,2026-02,Banklararo joylashtirishlar,aktiv,382918968608
Milliy Bank,2026-02,Kredit portfeli (brutto),aktiv,290471882505
Milliy Bank,2026-02,Kredit zaxirasi,aktiv,-12122582241
Milliy Bank,2026-02,Qimmatli qog'ozlar,aktiv,34086910913
Milliy Bank,2026-02,Asosiy vositalar,aktiv,803897508170
Milliy Bank,2026-02,Jami aktivlar,aktiv,1524207064943
Milliy Bank,2026-02,Jismoniy shaxs depozitlari,passiv,349598100105
Milliy Bank,2026-02,Yuridik shaxs depozitlari,passiv,610703419865
Milliy Bank,2026-02,Banklararo qarzlar,passiv,146588989052
Milliy Bank,2026-02,Chiqarilgan qimmatli qog'ozlar,passiv,31600766608
Milliy Bank,2026-02,Kapital,passiv,385715789313
Milliy Bank,2026-02,Jami passivlar va kapital,passiv,1524207064943
Milliy Bank,2026-03,Naqd pul va MB dagi mablag'lar,aktiv,24659933437
Milliy Bank,2026-03,Banklararo joylashtirishlar,aktiv,402295984524
Milliy Bank,2026-03,Berilgan kreditlar (brutto),aktiv,306301201376
Milliy Bank,2026-03,Kredit zaxirasi,aktiv,-25257349700
Milliy Bank,2026-03,Qimmatli qog'ozlar,aktiv,33362348583
