bank,kredit_id,oy,mijoz_turi,tarmoq,summa,stavka_foiz,muddat_oy,tasnif
Milliy Bank,MIL000001,2025-12,yuridik,qishloq_xoj,150075575,16.96,24,standart
Milliy Bank,MIL000002,2025-12,yuridik,qurilish,189680146,29.63,12,standart
Milliy Bank,MIL000003,2026-02,yuridik,qurilish,2857280168,18.54,84,standart
Milliy Bank,MIL000004,2025-11,yuridik,savdo,7204564398,28.37,12,standartdan_past
Milliy Bank,MIL000005,2026-03,jismoniy,qurilish,462023772,17.23,18,standart
Milliy Bank,MIL000006,2026-01,yuridik,sanoat,16673184,14.39,18,standart
Milliy Bank,MIL000007,2026-03,jismoniy,qurilish,1773145071,21.84,84,standart
Milliy Bank,MIL000008,2025-11,yuridik,sanoat,2380674602,27.3,6,standart
Milliy Bank,MIL000009,2026-01,yuridik,qishloq_xoj,4109777,21.26,36,standart
Milliy Bank,MIL000010,2025-10,jismoniy,qurilish,249362356,21.41,24,standart
Milliy Bank,MIL000011,2025-12,jismoniy,xizmat,2073791860,26.25,18,standart
Milliy Bank,MIL000012,2025-10,jismoniy,qishloq_xoj,102436670,26.72,18,standart
Milliy Bank,MIL000013,2025-10,jismoniy,qurilish,1725479,17.71,12,standart
Milliy Bank,MIL000014,2025-10,jismoniy,xizmat,1604033846,25.09,24,shubhali
Milliy Bank,MIL000015,2026-01,jismoniy,qurilish,2863842759,28.06,84,standart
Milliy Bank,MIL000016,2025-10,jismoniy,qishloq_xoj,45194603,18.93,12,standart
Milliy Bank,MIL000017,2025-12,jismoniy,xizmat,25361860,24.33,60,standart
Milliy Bank,MIL000018,2026-01,yuridik,sanoat,18795488,32.91,6,standart
Milliy Bank,MIL000019,2025-12,jismoniy,qishloq_xoj,57302129,28.5,36,standartdan_past
Milliy Bank,MIL000020,2025-11,yuridik,xizmat,17666407,25.87,84,standart
Milliy Bank,MIL000021,2025-11,jismoniy,qurilish,27663924,18.92,12,standart
Milliy Bank,MIL000022,2025-10,yuridik,qurilish,14533793,26.39,12,standartdan_past
Milliy Bank,MIL000023,2025-11,yuridik,qurilish,21528284,27.26,60,standart
Milliy Bank,MIL000024,2025-10,jismoniy,xizmat,90438885,19.03,60,standart
