bank,oy,k1_kapital_yetarliligi,lcr_likvidlik,k3_bir_qarzdor,chegara_k1,chegara_lcr,chegara_k3
Milliy Bank,2025-10,0.13,1.5451,0.1068,0.13,1.0,0.25
Milliy Bank,2025-11,0.1478,1.0799,0.2227,0.13,1.0,0.25
Milliy Bank,2025-12,0.1438,1.8379,0.1909,0.13,1.0,0.25
Milliy Bank,2026-01,0.1687,1.1969,0.2024,0.13,1.0,0.25
Milliy Bank,2026-02,0.2063,1.6565,0.1218,0.13,1.0,0.25
Milliy Bank,2026-03,0.2179,1.3714,0.2145,0.13,1.0,0.25
Sanoat Bank,2025-10,0.1505,1.4404,0.228,0.13,1.0,0.25
Sanoat Bank,2025-11,0.1649,1.3999,0.1281,0.13,1.0,0.25
Sanoat Bank,2025-12,0.1911,1.3147,0.104,0.13,1.0,0.25
Sanoat Bank,2026-01,0.1933,1.5428,0.1793,0.13,1.0,0.25
Sanoat Bank,2026-02,0.1314,1.7344,0.1449,0.13,1.0,0.25
Sanoat Bank,2026-03,0.1968,1.7008,0.2246,0.13,1.0,0.25
Ipoteka Bank,2025-10,0.1587,1.1421,0.1174,0.13,1.0,0.25
Ipoteka Bank,2025-11,0.2071,1.2036,0.1015,0.13,1.0,0.25
Ipoteka Bank,2025-12,0.162,1.4356,0.0802,0.13,1.0,0.25
Ipoteka Bank,2026-01,0.1914,1.3562,0.1704,0.13,1.0,0.25
Ipoteka Bank,2026-02,0.2053,1.1042,0.1313,0.13,1.0,0.25
Ipoteka Bank,2026-03,0.1445,1.8111,0.2166,0.13,1.0,0.25
Agro Bank,2025-10,0.2069,1.7933,0.0933,0.13,1.0,0.25
Agro Bank,2025-11,0.1724,1.7476,0.0875,0.13,1.0,0.25
Agro Bank,2025-12,0.1699,1.4345,0.1282,0.13,1.0,0.25
Agro Bank,2026-01,0.1377,1.2271,0.1573,0.13,1.0,0.25
Agro Bank,2026-02,0.1448,1.1668,0.2181,0.13,1.0,0.25
Agro Bank,2026-03,0.1538,1.1911,0.2203,0.13,1.0,0.25
Xalq Banki,2025-10,0.1438,1.2975,0.1569,0.13,1.0,0.25
Xalq Banki,2025-11,0.2129,1.3314,0.19,0.13,1.0,0.25
Xalq Banki,2025-12,0.1914,1.4738,0.1744,0.13,1.0,0.25
Xalq Banki,2026-01,0.1467,1.8121,0.2124,0.13,1.0,0.25
Xalq Banki,2026-02,0.1378,1.5107,0.1653,0.13,1.0,0.25
Xalq Banki,2026-03,0.1917,1.789,0.0873,0.13,1.0,0.25
Aloqa Bank,2025-10,0.1796,1.3399,0.2004,0.13,1.0,0.25
Aloqa Bank,2025-11,0.1546,1.1652,0.1929,0.13,1.0,0.25
Aloqa Bank,2025-12,0.1753,1.7795,0.1363,0.13,1.0,0.25
Aloqa Bank,2026-01,0.1928,1.8673,0.2058,0.13,1.0,0.25
Aloqa Bank,2026-02,0.1969,1.3494,0.1236,0.13,1.0,0.25
Aloqa Bank,2026-03,0.1798,1.897,0.1846,0.13,1.0,0.25
Turon Bank,2025-10,0.195,1.8234,0.1735,0.13,1.0,0.25
Turon Bank,2025-11,0.1465,1.4245,0.0963,0.13,1.0,0.25
Turon Bank,2025-12,0.1751,1.5217,0.1253,0.13,1.0,0.25
Turon Bank,2026-01,0.1913,1.3662,0.2282,0.13,1.0,0.25
Turon Bank,2026-02,0.1982,1.6826,0.1914,0.13,1.0,0.25
Turon Bank,2026-03,0.1658,1.2825,0.1803,0.13,1.0,0.25
Asaka Bank,2025-10,0.1334,1.0112,0.096,0.13,1.0,0.25
Asaka Bank,2025-11,0.134,1.0077,0.2394,0.13,1.0,0.25
Asaka Bank,2025-12,0.1308,1.0152,0.1458,0.13,1.0,0.25
Asaka Bank,2026-01,0.1321,1.0051,0.1921,0.13,1.0,0.25
Asaka Bank,2026-02,0.1343,1.0063,0.1817,0.13,1.0,0.25
Asaka Bank,2026-03,0.1303,1.0094,0.1777,0.13,1.0,0.25
Kapital Bank,2025-10,0.196,1.0913,0.1098,0.13,1.0,0.25
Kapital Bank,2025-11,0.163,1.6583,0.2218,0.13,1.0,0.25
Kapital Bank,2025-12,0.1478,1.0593,0.1744,0.13,1.0,0.25
Kapital Bank,2026-01,0.1985,1.1904,0.1985,0.13,1.0,0.25
Kapital Bank,2026-02,0.1813,1.194,0.2321,0.13,1.0,0.25
Kapital Bank,2026-03,0.1851,1.3913,0.1661,0.13,1.0,0.25
Hamkor Bank,2025-10,0.1987,1.1052,0.1801,0.13,1.0,0.25
Hamkor Bank,2025-11,0.1396,1.708,0.1989,0.13,1.0,0.25
Hamkor Bank,2025-12,0.1716,1.3825,0.0923,0.13,1.0,0.25
Hamkor Bank,2026-01,0.1877,1.8849,0.1255,0.13,1.0,0.25
Hamkor Bank,2026-02,0.1963,1.1109,0.172,0.13,1.0,0.25
Hamkor Bank,2026-03,0.2167,1.658,0.1423,0.13,1.0,0.25
Trast Bank,2025-10,0.1474,1.8722,0.171,0.13,1.0,0.25
Trast Bank,2025-11,0.1966,1.8735,0.1803,0.13,1.0,0.25
Trast Bank,2025-12,0.1652,1.3223,0.1576,0.13,1.0,0.25
Trast Bank,2026-01,0.2023,1.6458,0.2351,0.13,1.0,0.25
Trast Bank,2026-02,0.1958,1.4386,0.1617,0.13,1.0,0.25
Trast Bank,2026-03,0.1582,1.0667,0.1343,0.13,1.0,0.25
Davr Bank,2025-10,0.1323,1.0173,0.2182,0.13,1.0,0.25
Davr Bank,2025-11,0.1319,1.0061,0.1825,0.13,1.0,0.25
Davr Bank,2025-12,0.133,1.0063,0.2364,0.13,1.0,0.25
Davr Bank,2026-01,0.1342,1.0024,0.1109,0.13,1.0,0.25
Davr Bank,2026-02,0.1333,1.0158,0.2379,0.13,1.0,0.25
Davr Bank,2026-03,0.1317,1.0188,0.183,0.13,1.0,0.25
Universal Bank,2025-10,0.2158,1.3654,0.1143,0.13,1.0,0.25
Universal Bank,2025-11,0.1883,1.3848,0.1703,0.13,1.0,0.25
Universal Bank,2025-12,0.1335,1.3375,0.1138,0.13,1.0,0.25
Universal Bank,2026-01,0.1381,1.1839,0.231,0.13,1.0,0.25
Universal Bank,2026-02,0.2113,1.0593,0.0876,0.13,1.0,0.25
Universal Bank,2026-03,0.1318,1.0604,0.1685,0.13,1.0,0.25
